source_id,club_id,valid_from,valid_to,note
692,692,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
693,693,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
694,694,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
695,695,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
696,696,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
697,697,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
698,698,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
699,699,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
700,700,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
701,701,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
702,702,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
703,703,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
704,704,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
706,706,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
712,712,2021-09-30,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2021-22
713,713,2021-09-30,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2021-22
716,716,2020-10-02,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2020-21
717,717,2022-09-29,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2022-23
718,718,2017-09-29,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2017-18
720,720,2017-09-29,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2017-18
721,721,2020-10-02,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2020-21
726,726,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
727,727,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
728,728,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
729,729,2016-09-22,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2016-17
745,745,2024-10-03,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2024-25
753,753,2018-10-04,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2018-19
1638,1638,2023-10-05,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2023-24
2486,2486,2025-10-03,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2025-26
2488,2488,2023-10-05,9999-12-31,公式サイトの TeamID。改称・リーグ再編をまたいで不変。初出 2023-24
