id,slug,name,first_season,last_season,previous_names,note
692,sendai-89ers,仙台89ERS,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
693,akita-northern-happinets,秋田ノーザンハピネッツ,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
694,yokohama-b-corsairs,横浜ビー・コルセアーズ,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
695,niigata-albirex-bb,新潟アルビレックスBB,2016-17,2022-23,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
696,toyama-grouses,富山グラウジーズ,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
697,san-en-neophoenix,三遠ネオフェニックス,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
698,shiga-lakes,滋賀レイクス,2016-17,2026-27,滋賀レイクスターズ(2016-17〜),slug は投入時点の名称から決めた運営者の値。改称でも変えない
699,kyoto-hannaryz,京都ハンナリーズ,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
700,osaka-evessa,大阪エヴェッサ,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
701,ryukyu-golden-kings,琉球ゴールデンキングス,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
702,levanga-hokkaido,レバンガ北海道,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
703,utsunomiya-brex,宇都宮ブレックス,2016-17,2026-27,栃木ブレックス(2016-17〜),slug は投入時点の名称から決めた運営者の値。改称でも変えない
704,chiba-jets,千葉ジェッツ,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
706,alvark-tokyo,アルバルク東京,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
712,ibaraki-robots,茨城ロボッツ,2021-22,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
713,gunma-crane-thunders,群馬クレインサンダーズ,2021-22,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
716,shinshu-brave-warriors,信州ブレイブウォリアーズ,2020-21,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
717,fighting-eagles-nagoya,ファイティングイーグルス名古屋,2022-23,2025-26,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
718,kobe-storks,神戸ストークス,2017-18,2026-27,西宮ストークス(2017-18〜),slug は投入時点の名称から決めた運営者の値。改称でも変えない
720,shimane-susanoo-magic,島根スサノオマジック,2017-18,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
721,hiroshima-dragonflies,広島ドラゴンフライズ,2020-21,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
726,tokyo-sunrockers,東京サンロッカーズ,2016-17,2026-27,サンロッカーズ渋谷(2016-17〜),slug は投入時点の名称から決めた運営者の値。改称でも変えない
727,kawasaki-brave-thunders,川崎ブレイブサンダース,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
728,seahorses-mikawa,シーホース三河,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
729,nagoya-diamond-dolphins,名古屋ダイヤモンドドルフィンズ,2016-17,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
745,koshigaya-alphas,越谷アルファーズ,2024-25,2025-26,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
753,rizing-zephyr-fukuoka,ライジングゼファー福岡,2018-19,2018-19,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
1638,saga-ballooners,佐賀バルーナーズ,2023-24,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
2486,altiri-chiba,アルティーリ千葉,2025-26,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
2488,nagasaki-velca,長崎ヴェルカ,2023-24,2026-27,,slug は投入時点の名称から決めた運営者の値。改称でも変えない
