id,label,league,start_date,end_date,source
2016-17-B1,2016-17,B1,2016-09-22,2017-05-07,schedule?year=2016&mon=all の試合日の最小・最大
2017-18-B1,2017-18,B1,2017-09-29,2018-05-07,schedule?year=2017&mon=all の試合日の最小・最大
2018-19-B1,2018-19,B1,2018-10-04,2019-04-21,schedule?year=2018&mon=all の試合日の最小・最大
2019-20-B1,2019-20,B1,2019-10-03,2020-05-04,schedule?year=2019&mon=all の試合日の最小・最大
2020-21-B1,2020-21,B1,2020-10-02,2021-05-10,schedule?year=2020&mon=all の試合日の最小・最大
2021-22-B1,2021-22,B1,2021-09-30,2022-05-08,schedule?year=2021&mon=all の試合日の最小・最大
2022-23-B1,2022-23,B1,2022-09-29,2023-05-07,schedule?year=2022&mon=all の試合日の最小・最大
2023-24-B1,2023-24,B1,2023-10-05,2024-05-06,schedule?year=2023&mon=all の試合日の最小・最大
2024-25-B1,2024-25,B1,2024-10-03,2025-05-04,schedule?year=2024&mon=all の試合日の最小・最大
2025-26-B1,2025-26,B1,2025-10-03,2026-05-03,schedule?year=2025&mon=all の試合日の最小・最大
2026-27-PREMIER,2026-27,PREMIER,2026-09-22,2027-05-02,schedule?year=2026&mon=all の試合日の最小・最大
